Katana ID (required),Material name,Category,Unit of measure,Purchase UoM,Conversion rate,Sell?,Batch trackable?,Default supplier,Variant code,Material variant,Default sales price,Default lead time,Default storage bin,MOQ,Location,Safety stock,Additional info,Website Name
17404405,A - NEW MELODY Sr No. 25 Shade MELODY-MELODY-27,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 25 Shade MELODY-MELODY-27,,,,,FAM,0,,NEW MELODY Sr 25 Shade 27
17404406,A - NEW MELODY Sr No. 26 Shade MELODY-PLAIN-41,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 26 Shade MELODY-PLAIN-41,,,,,FAM,0,,NEW MELODY Sr 26 Shade 41
17404407,A - NEW MELODY Sr No. 27 Shade MELODY-PLAIN-42,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 27 Shade MELODY-PLAIN-42,,,,,FAM,0,,NEW MELODY Sr 27 Shade 42
17404408,A - NEW MELODY Sr No. 28 Shade MELODY-PLAIN-43,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 28 Shade MELODY-PLAIN-43,,,,,FAM,0,,NEW MELODY Sr 28 Shade 43
17404409,A - NEW MELODY Sr No. 29 Shade MELODY-PLAIN-44,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 29 Shade MELODY-PLAIN-44,,,,,FAM,0,,NEW MELODY Sr 29 Shade 44
17404382,A - NEW MELODY Sr No. 2 Shade MELODY-MELODY-9,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 2 Shade MELODY-MELODY-9,,,,,FAM,0,,NEW MELODY Sr 2 Shade 09
17404410,A - NEW MELODY Sr No. 30 Shade MELODY-PLAIN-45,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 30 Shade MELODY-PLAIN-45,,,,,FAM,0,,NEW MELODY Sr 30 Shade 45
17404411,A - NEW MELODY Sr No. 31 Shade MELODY-PLAIN-46,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 31 Shade MELODY-PLAIN-46,,,,,FAM,0,,NEW MELODY Sr 31 Shade 46
17404412,A - NEW MELODY Sr No. 32 Shade MELODY-PLAIN-47,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 32 Shade MELODY-PLAIN-47,,,,,FAM,0,,NEW MELODY Sr 32 Shade 47
17404413,A - NEW MELODY Sr No. 33 Shade MELODY-PLAIN-48,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 33 Shade MELODY-PLAIN-48,,,,,FAM,0,,NEW MELODY Sr 33 Shade 48
17404414,A - NEW MELODY Sr No. 34 Shade MELODY-PLAIN-49,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 34 Shade MELODY-PLAIN-49,,,,,FAM,0,,NEW MELODY Sr 34 Shade 49
17404383,A - NEW MELODY Sr No. 3 Shade MELODY-MELODY-8,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 3 Shade MELODY-MELODY-8,,,,,FAM,0,,NEW MELODY Sr 3 Shade 08
17404384,A - NEW MELODY Sr No. 4 Shade MELODY-MELODY-13,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 4 Shade MELODY-MELODY-13,,,,,FAM,0,,NEW MELODY Sr 4 Shade 13
17404385,A - NEW MELODY Sr No. 5 Shade MELODY-MELODY-20,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 5 Shade MELODY-MELODY-20,,,,,FAM,0,,NEW MELODY Sr 5 Shade 20
17404386,A - NEW MELODY Sr No. 6 Shade MELODY-MELODY-19,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 6 Shade MELODY-MELODY-19,,,,,FAM,0,,NEW MELODY Sr 6 Shade 19
17404387,A - NEW MELODY Sr No. 7 Shade MELODY-MELODY-2,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 7 Shade MELODY-MELODY-2,,,,,FAM,0,,NEW MELODY Sr 7 Shade 02
17404388,A - NEW MELODY Sr No. 8 Shade MELODY-MELODY-3,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 8 Shade MELODY-MELODY-3,,,,,FAM,0,,NEW MELODY Sr 8 Shade 03
17404389,A - NEW MELODY Sr No. 9 Shade MELODY-MELODY-21,Fabric,m,m,1,no,no,Home Ideas,,A - NEW MELODY Sr No. 9 Shade MELODY-MELODY-21,,,,,FAM,0,,NEW MELODY Sr 9 Shade 21
18095989,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE ARMY Sr No 35,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S399,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE ARMY Sr No 35,,,,,FAM,0,,NEW MOLFINO Sr.no: 35SOFT CHENILLE-ARMY
18095968,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE CHIFFON Sr No 14,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S378,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE CHIFFON Sr No 14,,,,,FAM,0,,NEW MOLFINO- Sr. no: 14 SOFT CHENILLE-CREAM
18095971,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE CLOUD Sr No 17,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S381,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE CLOUD Sr No 17,,,,,FAM,0,,NEW MOLFINO Sr.no:17 SOFT CHENILLE-CLOUD
18095955,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE COTTON Sr No 1,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S365,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE COTTON Sr No 1,,,,,FAM,0,,NEW MOLFINO Sr.no: 1 SOFT CHENILLE-COTTON
18095970,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE DAISY Sr No 16,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S380,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE DAISY Sr No 16,,,,,FAM,0,,NEW MOLFINO Sr.no 16-SOFT CHENILLE-DAISY
18095976,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE INDIGO Sr No 22,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S386,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE INDIGO Sr No 22,,,,,FAM,0,,NEW MOLFINO Sr.no: 22 SOFT CHENILLE-INDIGO
18095969,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE IVORY Sr No 15,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S379,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE IVORY Sr No 15,,,,,FAM,0,,NEW MOLFINO Sr.no: 15 SOFT CHENILLE-IVORY
18095982,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE LIGHT BLUE Sr No 28,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S392,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE LIGHT BLUE Sr No 28,,,,,FAM,0,,NEW MOLFINO Sr.no: 28 SOFT CHENILLE-LIGHT BLUE
18095965,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE PEANUT Sr No 11,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S375,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE PEANUT Sr No 11,,,,,FAM,0,,NEW MOLFINO Sr.no: 11 SOFT CHENILLE-PEANUT
18095984,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE PISTACHIO Sr No 30,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S394,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE PISTACHIO Sr No 30,,,,,FAM,0,,NEW MOLFINO Sr.no: 30 SOFT CHENILLE-PISTACHIO
18095988,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE SAGE Sr No 34,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S398,A - NEW MOLFINO NEW MOLFINO SOFT CHENILLE SAGE Sr No 34,,,,,FAM,0,,NEW MOLFINO Sr.no: 34 SOFT CHENILLE-SAGE
18095979,A - NEW MOLFINO-SOFT CHENILLE-AEGEAN Sr No 25,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S389,A - NEW MOLFINO-SOFT CHENILLE-AEGEAN Sr No 25,,,,,FAM,0,,NEW MOLFINO Sr.no: 25 SOFT CHENILLE-AEGEAN
18095956,A - NEW MOLFINO-SOFT CHENILLE-BEIGE Sr No 2,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S366,A - NEW MOLFINO-SOFT CHENILLE-BEIGE Sr No 2,,,,,FAM,0,,NEW MOLFINO Sr.no: 2 SOFT CHENILLE-BEIGE
18095967,A - NEW MOLFINO-SOFT CHENILLE-BISCOTTI Sr No 13,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S377,A - NEW MOLFINO-SOFT CHENILLE-BISCOTTI Sr No 13,,,,,FAM,0,,NEW MOLFINO Sr.no: 13 SOFT CHENILLE-BISCOTTI
18095957,A - NEW MOLFINO-SOFT CHENILLE-CANARY Sr No 3,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S367,A - NEW MOLFINO-SOFT CHENILLE-CANARY Sr No 3,,,,,FAM,0,,NEW MOLFINO Sr.no:3 SOFT CHENILLE-CANARY
18095958,A - NEW MOLFINO-SOFT CHENILLE-CHARCOAL Sr No 4,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S368,A - NEW MOLFINO-SOFT CHENILLE-CHARCOAL Sr No 4,,,,,FAM,0,,NEW MOLFINO Sr.no:4 SOFT CHENILLE-CHARCOAL
18095964,A - NEW MOLFINO-SOFT CHENILLE-COFFEE Sr No 10,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S374,A - NEW MOLFINO-SOFT CHENILLE-COFFEE Sr No 10,,,,,FAM,0,,NEW MOLFINO Sr.no:10 SOFT CHENILLE-COFFEE
18095977,A - NEW MOLFINO-SOFT CHENILLE-DENIM Sr No 23,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S387,A - NEW MOLFINO-SOFT CHENILLE-DENIM Sr No 23,,,,,FAM,0,,NEW MOLFINO Sr.no: 23 SOFT CHENILLE-DENIM
18095961,A - NEW MOLFINO-SOFT CHENILLE-FAWN Sr No 7,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S371,A - NEW MOLFINO-SOFT CHENILLE-FAWN Sr No 7,,,,,FAM,0,,NEW MOLFINO Sr.no: 7 SOFT CHENILLE-FAWN
18095972,A - NEW MOLFINO-SOFT CHENILLE-FOG Sr No 18,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S382,A - NEW MOLFINO-SOFT CHENILLE-FOG Sr No 18,,,,,FAM,0,,NEW MOLFINO Sr.no: 18 SOFT CHENILLE-FOG
18095987,A - NEW MOLFINO-SOFT CHENILLE-FOREST Sr No 33,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S397,A - NEW MOLFINO-SOFT CHENILLE-FOREST Sr No 33,,,,,FAM,0,,NEW MOLFINO Sr.no: 33 SOFT CHENILLE-FOREST
18095995,A - NEW MOLFINO-SOFT CHENILLE-GOLD Sr No 41,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S405,A - NEW MOLFINO-SOFT CHENILLE-GOLD Sr No 41,,,,,FAM,0,,NEW MOLFINO Sr.no: 41 SOFT CHENILLE-GOLD
18095973,A - NEW MOLFINO-SOFT CHENILLE-GRAY Sr No 19,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S383,A - NEW MOLFINO-SOFT CHENILLE-GRAY Sr No 19,,,,,FAM,0,,NEW MOLFINO Sr.no: 19 NEW MOLFINO-SOFT CHENILLE-GRAY
18095996,A - NEW MOLFINO-SOFT CHENILLE-HONEY Sr No 42,Fabric,m,m,1,no,no,Home Ideas,FABCARE-S406,A - NEW MOLFINO-SOFT CHENILLE-HONEY Sr No 42,,,,,FAM,0,,NEW MOLFINO Sr.no: 42 SOFT CHENILLE-HONEY
